DATE,DS (DOBSON),
1/30/2019,250.2,
1/31/2019,252.2,
2/1/2019,253.5,
2/2/2019,250.6,
2/4/2019,261.1,
2/5/2019,250.7,
2/6/2019,282.8,
2/7/2019,251.4,
2/8/2019,245.1,
2/11/2019,251.9,
2/12/2019,251.8,
2/13/2019,250.7,
2/14/2019,253,
2/15/2019,256.1,
2/18/2019,256.9,
2/19/2019,255.1,
2/20/2019,251.5,
2/21/2019,230.6,
2/25/2019,253.7,
2/26/2019,254,
2/27/2019,249,
2/28/2019,257.9,
3/1/2019,257.9,
3/4/2019,254.4,
3/5/2019,254.4,
3/6/2019,253.3,
3/7/2019,259.6,
3/8/2019,258.3,
3/11/2019,254.9,
3/12/2019,272.5,
3/14/2019,250.2,
3/15/2019,258.5,
3/18/2019,254,
3/19/2019,254.1,
3/20/2019,257.8,
3/21/2019,261.4,
3/22/2019,269.6,
3/25/2019,260.1,
3/26/2019,263.7,
3/27/2019,260.5,
3/28/2019,267.9,
3/29/2019,266.3,
4/1/2019,272.4,
4/2/2019,267.2,
4/3/2019,272.2,
4/8/2019,275.1,
4/9/2019,265.7,
4/10/2019,268.5,
4/11/2019,260.3,
4/12/2019,276.8,
4/15/2019,274.4,
4/16/2019,275.7,
4/17/2019,267.8,
6/12/2019,254,
7/9/2019,277.6,
7/11/2019,266.3,
7/12/2019,257.2,
7/15/2019,249.8,
7/18/2019,255.8,
7/22/2019,259.2,
7/23/2019,306.7,
7/25/2019,276.3,
8/5/2019,297.3,
8/6/2019,297.1,
8/8/2019,308.2,
8/14/2019,397.6,
8/26/2019,279.6,
8/27/2019,297.5,
8/28/2019,326.5,
9/2/2019,300.1,
9/3/2019,308,
10/12/2019,246.1,
10/17/2019,206.3,
10/18/2019,208.7,
1/6/2020,247.1,
1/13/2020,277.2,
1/14/2020,244.8,
1/15/2020,241.4,
1/16/2020,252.6,
1/17/2020,247,
1/20/2020,253.8,
1/21/2020,239.9,249.9
1/22/2020,243,
1/23/2020,247.7,254.7
1/24/2020,259.4,
1/27/2020,249.5,
1/28/2020,238.7,
1/29/2020,237.2,233.6
1/30/2020,236.2,
1/31/2020,235.8,
2/3/2020,226.9,
2/5/2020,242,
2/6/2020,242.1,
2/7/2020,245.2,
2/10/2020,239.2,
2/12/2020,247.3,
2/13/2020,241.8,
2/14/2020,236.2,
2/17/2020,248.3,
2/18/2020,243.1,
2/19/2020,274.4,
2/20/2020,249.8,
2/21/2020,246.7,
2/24/2020,248.8,
2/25/2020,249.8,
2/26/2020,238.1,
2/27/2020,237.8,
2/28/2020,241.7,
3/2/2020,255.1,
3/3/2020,255.1,
3/4/2020,257.6,
3/5/2020,251.7,253.3
3/6/2020,260.5,
3/9/2020,256.7,261
3/10/2020,259,263.9
3/11/2020,256.1,
3/12/2020,254.6,
3/13/2020,243.8,
3/16/2020,255.2,
3/17/2020,244.7,
3/18/2020,257,253.8
3/19/2020,254.4,
3/20/2020,248.1,256.4
3/23/2020,243.9,
3/24/2020,238.8,
3/25/2020,238.2,
3/26/2020,251.9,
3/27/2020,246.3,255.3
3/30/2020,257.2,
3/31/2020,244,
4/1/2020,249,
4/2/2020,249.6,
4/3/2020,255.4,
5/5/2020,242.7,
5/6/2020,242.3,
5/7/2020,249.1,238.6
5/8/2020,244.1,241.7
5/11/2020,236.4,
5/12/2020,242.2,
5/13/2020,246.5,237.4
5/14/2020,241.8,
5/15/2020,235.6,
5/18/2020,248.6,
5/19/2020,266.6,
5/20/2020,251.5,250.2
5/21/2020,257.4,250.5
5/22/2020,256,251.4
5/25/2020,245.2,
5/26/2020,258.6,255.7
5/27/2020,257.2,253.3
5/28/2020,255.1,
5/29/2020,266.5,
6/2/2020,253.3,
6/3/2020,250.1,
6/4/2020,248.6,
6/5/2020,245.4,
6/8/2020,249.9,
6/9/2020,256.3,
6/10/2020,255.6,
6/11/2020,254.2,
6/12/2020,255.9,
6/17/2020,254.4,
6/18/2020,249.4,
12/1/2021,250.5,
12/3/2021,249.4,
7/1/2022,210.8,
7/4/2022,276.8,256.6
7/5/2022,268.7,235.5
7/6/2022,264.6,
7/7/2022,269.4,252.2
7/8/2022,176.6,
7/11/2022,258.1,
7/13/2022,282.7,
7/14/2022,269,235.4
7/15/2022,207.1,
7/18/2022,255.6,
7/19/2022,274.2,257.8
7/20/2022,269.9,
7/21/2022,254.5,
7/22/2022,224.6,
7/25/2022,266.5,
7/26/2022,259.7,
7/27/2022,271.9,243.7
7/28/2022,217.9,
7/29/2022,261.5,
8/1/2022,230.1,
8/2/2022,255.9,
8/3/2022,253.9,
8/4/2022,256.4,
8/5/2022,246.8,
8/6/2022,255.4,
8/8/2022,255.7,
8/10/2022,253.9,241.6
8/11/2022,253.7,
